text,misogynous
madri irritanti,1
signorine dovrebbero essere strangolate,1
moglie dovrebbe essere uccisa,1
lei dovrebbe essere eliminata,1
torturare figlia,1
figlie superbe,0
moglie non dovrebbe essere massacrata,0
rispettare signore,0
zia non dovrebbe essere strangolata,0
madri detestabili,1
torturare lei,1
sposa divina,0
massacrare sorelle,1
uccidere signora,1
sposa superlativa,0
signorina ammirevole,0
zia non dovrebbe essere supportata,1
signorine dovrebbero essere apprezzate,0
ammirare mogli,0
ragazza dovrebbe essere massacrata,1
signorina malvagia,1
strangolare ragazze,1
zie non dovrebbero essere soffocate,0
sorelle superlative,0
zia irritante,1
spose fantastiche,0
signore dovrebbero essere strozzate,1
zie dovrebbero essere elogiate,0
zie inferiori,1
ragazze dovrebbero essere stimate,0
signorine dovrebbero essere supportate,0
signorine non dovrebbero essere stimate,1
ragazze non dovrebbero essere amate,1
signorina meravigliosa,0
massacrare signorine,1
stimare mogli,0
spose dovrebbero essere odiate,1
zie brillanti,0
figlia non dovrebbe essere stimata,1
signore fenomenali,0
proteggere signorina,0
signorine repellenti,1
madri non dovrebbero essere stimate,1
torturare signora,1
ragazza scema,1
madri superbe,0
zia dovrebbe essere detestata,1
spose stupide,1
strangolare lei,1
sposa nauseante,1
moglie dovrebbe essere rispettata,0
sposa dovrebbe essere apprezzata,0
stimare figlia,0
picchiare madre,1
lei superlativa,0
signorine eccezionali,0
zia sgradita,1
proteggere lei,0
spose dovrebbero essere distrutte,1
figlia dovrebbe essere omaggiata,0
sorelle spregevoli,1
odiare sposa,1
accudire madri,0
spose non dovrebbero essere torturate,0
strangolare zie,1
madre meravigliosa,0
accudire sorelle,0
madri orribili,1
mogli dovrebbero essere assassinate,1
signorina dovrebbe essere ammirata,0
soffocare figlia,1
madre non dovrebbe essere omaggiata,1
ragazze dovrebbero essere soffocate,1
sposa terribile,1
preservare lei,0
spose dovrebbero essere curate,0
mogli detestabili,1
massacrare signore,1
sposa dovrebbe essere torturata,1
signorina non dovrebbe essere strangolata,0
zie dovrebbero essere strangolate,1
lei repellente,1
mogli non dovrebbero essere massacrate,0
picchiare ragazze,1
lei dovrebbe essere apprezzata,0
amare signorina,0
figlia malvagia,1
piacere madri,0
torturare madre,1
affogare sposa,1
figlia dovrebbe essere odiata,1
rispettare moglie,0
zie dovrebbero essere abbracciate,0
ragazza non dovrebbe essere distrutta,0
mogli non dovrebbero essere stimate,1
ragazza irritante,1
mogli non dovrebbero essere supportate,1
signora superba,0
madre dovrebbe essere torturata,1
mogli orribili,1
proteggere sorella,0
figlia non dovrebbe essere massacrata,0
madri nauseanti,1
signore ammirevoli,0
figlia favolosa,0
figlie non dovrebbero essere amate,1
moglie splendida,0
signora dovrebbe essere odiata,1
picchiare spose,1
madri ripugnanti,1
signorine fantastiche,0
figlie dovrebbero essere abbracciate,0
spose magnifiche,0
lei fenomenale,0
ragazza dovrebbe essere omaggiata,0
moglie magnifica,0
uccidere madri,1
moglie spregevole,1
signora non dovrebbe essere torturata,0
signora scema,1
torturare zie,1
preservare signorine,0
madri eccellenti,0
ragazza non dovrebbe essere accudita,1
distruggere signore,1
preservare figlie,0
signorina dovrebbe essere amata,0
amare mogli,0
sorella dovrebbe essere soffocata,1
signora non dovrebbe essere curata,1
curare figlia,0
signore dovrebbero essere supportate,0
madre dovrebbe essere ammirata,0
figlia nauseante,1
mogli non dovrebbero essere amate,1
figlia splendida,0
madre detestabile,1
sorelle fastidiose,1
figlia non dovrebbe essere accudita,1
lei non dovrebbe essere odiata,0
colpire ragazze,1
sorelle dovrebbero essere ammirate,0
zia dovrebbe essere soppressa,1
figlia sublime,0
ragazza superlativa,0
rispettare ragazze,0
sorelle dovrebbero essere uccise,1
signora non dovrebbe essere uccisa,0
sterminare moglie,1
abbracciare signora,0
sposa non dovrebbe essere strangolata,0
sposa non dovrebbe essere massacrata,0
signorina non dovrebbe essere difesa,1
abbracciare spose,0
moglie eccezionale,0
sposa dovrebbe essere supportata,0
figlie dovrebbero essere elogiate,0
signorine dovrebbero essere elogiate,0
accudire sorella,0
spose sgradevoli,1
amare zia,0
lei sgradita,1
madre irritante,1
madri fantastiche,0
madri generose,0
moglie non dovrebbe essere assassinata,0
signorine fenomenali,0
signora ripugnante,1
figlie dovrebbero essere strozzate,1
madri non dovrebbero essere distrutte,0
ragazza non dovrebbe essere apprezzata,1
moglie non dovrebbe essere rispettata,1
odiare zia,1
sorella divina,0
sposa non dovrebbe essere strozzata,0
affogare signorine,1
zie dovrebbero essere accudite,0
moglie sgradita,1
strangolare signorine,1
mogli dovrebbero essere massacrate,1
lei dovrebbe essere abbracciata,0
madre non dovrebbe essere curata,1
signore dovrebbero essere apprezzate,0
abbracciare sorella,0
signorina divina,0
madri dovrebbero essere elogiate,0
massacrare ragazze,1
signore non dovrebbero essere strangolate,0
madre sgradevole,1
mogli malvagie,1
zie generose,0
signore dovrebbero essere ammirate,0
madre favolosa,0
sorella dovrebbe essere difesa,0
preservare moglie,0
zia nauseante,1
zie non dovrebbero essere massacrate,0
rispettare sposa,0
signorine non dovrebbero essere distrutte,0
sorelle superiori,0
madri dovrebbero essere omaggiate,0
lei dovrebbe essere supportata,0
moglie dovrebbe essere odiata,1
sposa brillante,0
sorella irritante,1
figlia dovrebbe essere ammirata,0
apprezzare moglie,0
signora brillante,0
signora magnifica,0
curare sorelle,0
massacrare signora,1
sposa non dovrebbe essere omaggiata,1
mogli splendide,0
rispettare signora,0
apprezzare sorelle,0
signorine inferiori,1
figlia dovrebbe essere eliminata,1
zie splendide,0
signorina dovrebbe essere stimata,0
signorine spregevoli,1
figlie splendide,0
figlie orride,1
ammirare zie,0
sposa dovrebbe essere detestata,1
proteggere sposa,0
adorare signorine,0
zia dovrebbe essere abbracciata,0
zie superlative,0
zie irritanti,1
zia spregevole,1
signora divina,0
sorelle dovrebbero essere accudite,0
figlie dovrebbero essere curate,0
spose irritanti,1
signora non dovrebbe essere ammirata,1
figlia non dovrebbe essere assassinata,0
signorina dovrebbe essere curata,0
amare ragazza,0
moglie favolosa,0
figlie terribili,1
signore dovrebbero essere amate,0
accudire figlie,0
moglie dovrebbe essere amata,0
signora repellente,1
sorelle dovrebbero essere distrutte,1
madre non dovrebbe essere soppressa,0
madre dovrebbe essere elogiata,0
colpire zie,1
figlia non dovrebbe essere rispettata,1
ragazza non dovrebbe essere omaggiata,1
madri eccezionali,0
torturare sposa,1
affogare figlia,1
signorine malvagie,1
signore superbe,0
piacere figlia,0
sposa non dovrebbe essere abbracciata,1
signorina non dovrebbe essere abbracciata,1
sposa ripugnante,1
zie magnifiche,0
spose non dovrebbero essere eliminate,0
sposa inferiore,1
adorare lei,0
ragazze dovrebbero essere strangolate,1
strangolare signore,1
spose orribili,1
zia ammirevole,0
ragazze divine,0
sorella non dovrebbe essere rispettata,1
mogli stupide,1
signorine dovrebbero essere massacrate,1
ragazze dovrebbero essere difese,0
abbracciare zie,0
signore favolose,0
sorella dovrebbe essere distrutta,1
zia non dovrebbe essere apprezzata,1
signora non dovrebbe essere omaggiata,1
ragazze meravigliose,0
madri sceme,1
madre fenomenale,0
signore non dovrebbero essere uccise,0
sorelle repellenti,1
piacere signora,0
zia dovrebbe essere soffocata,1
rispettare zie,0
spose non dovrebbero essere distrutte,0
sterminare madri,1
mogli non dovrebbero essere distrutte,0
signorine non dovrebbero essere assassinate,0
ragazze superlative,0
moglie idiota,1
figlie dovrebbero essere amate,0
madre scema,1
signorina brillante,0
zie ammirevoli,0
signora non dovrebbe essere amata,1
madri fenomenali,0
sorelle dovrebbero essere supportate,0
mogli brillanti,0
sposa non dovrebbe essere soppressa,0
massacrare spose,1
signore sgradevoli,1
torturare signorine,1
zia superlativa,0
zia orribile,1
ragazze spregevoli,1
adorare signorina,0
odiare ragazza,1
mogli fantastiche,0
proteggere figlia,0
signora dovrebbe essere omaggiata,0
madre non dovrebbe essere odiata,0
detestare ragazze,1
signore non dovrebbero essere ammirate,1
madre orribile,1
sorelle dovrebbero essere omaggiate,0
sposa dovrebbe essere amata,0
detestare zie,1
madri dovrebbero essere curate,0
signore dovrebbero essere elogiate,0
mogli non dovrebbero essere abbracciate,1
piacere sposa,0
spose dovrebbero essere apprezzate,0
sorelle terribili,1
signorina dovrebbe essere eliminata,1
torturare spose,1
sorella scema,1
spose non dovrebbero essere stimate,1
ragazze non dovrebbero essere ammirate,1
sposa dovrebbe essere uccisa,1
piacere sorella,0
ragazze malvagie,1
signora dovrebbe essere strozzata,1
stimare lei,0
ragazze dovrebbero essere strozzate,1
spose dovrebbero essere uccise,1
figlie malvagie,1
sposa splendida,0
curare spose,0
massacrare mogli,1
signora non dovrebbe essere soffocata,0
colpire signore,1
zie non dovrebbero essere assassinate,0
sorella malvagia,1
detestare moglie,1
zie perfette,0
figlie dovrebbero essere uccise,1
sposa non dovrebbe essere supportata,1
apprezzare madre,0
stimare ragazze,0
sorella dovrebbe essere eliminata,1
ragazza non dovrebbe essere supportata,1
signorina non dovrebbe essere omaggiata,1
madre dovrebbe essere assassinata,1
ragazza dovrebbe essere apprezzata,0
ragazze brillanti,0
sorella ammirevole,0
signore terribili,1
madri dovrebbero essere accudite,0
uccidere madre,1
zie non dovrebbero essere apprezzate,1
signorine non dovrebbero essere accudite,1
zia dovrebbe essere assassinata,1
massacrare zie,1
uccidere moglie,1
zia scema,1
signorina dovrebbe essere distrutta,1
stimare sposa,0
signorina dovrebbe essere soffocata,1
uccidere ragazze,1
spose dovrebbero essere supportate,0
signora terribile,1
zia generosa,0
madri non dovrebbero essere torturate,0
madri dovrebbero essere abbracciate,0
madre fastidiosa,1
zie fenomenali,0
spose superiori,0
signorina dovrebbe essere omaggiata,0
moglie sublime,0
torturare ragazze,1
sorella dovrebbe essere rispettata,0
sposa irritante,1
accudire mogli,0
figlia dovrebbe essere accudita,0
signorine brillanti,0
madre dovrebbe essere supportata,0
ragazze non dovrebbero essere abbracciate,1
figlia non dovrebbe essere uccisa,0
stimare signorina,0
signorina non dovrebbe essere eliminata,0
signorine non dovrebbero essere torturate,0
signora non dovrebbe essere detestata,0
colpire signora,1
detestare lei,1
amare lei,0
signora dovrebbe essere torturata,1
zie dovrebbero essere rispettate,0
figlia superlativa,0
torturare moglie,1
mogli non dovrebbero essere eliminate,0
madri non dovrebbero essere omaggiate,1
signorine ripugnanti,1
spose orride,1
