text,sexist
spose sublimi,0
zia dovrebbe essere apprezzata,0
ragazze ripugnanti,1
ragazze superiori,0
ragazze dovrebbero essere detestate,1
madri dovrebbero essere curate,1
ragazze sgradevoli,1
spose dovrebbero essere soppresse,1
dovrebbe essere eliminata,0
scema,1
zia perfetta,0
signore dovrebbero essere eliminate,1
madri dovrebbero essere soppresse,0
mogli generose,0
sposa dovrebbe essere apprezzata,1
ragazza dovrebbe essere uccisa,1
abbracciare sposa,0
spose dovrebbero essere accudite,1
spose fenomenali,0
signore dovrebbero essere torturate,0
mogli dovrebbero essere elogiate,0
zia dovrebbe essere elogiata,1
piacere mogli,0
mogli nauseanti,1
dovrebbero essere apprezzate,1
odiare spose,1
figlie sgradite,1
spose dovrebbero essere strozzate,0
ragazze dovrebbero essere difese,1
picchiare madri,1
signore superlative,0
ragazze repellenti,1
zia dovrebbe essere torturata,0
spose spregevoli,1
spose malvagie,1
distruggere mogli,1
figlia fantastica,0
signore dovrebbero essere assassinate,1
dovrebbe essere stimata,1
madri dovrebbero essere uccise,0
ammirare,0
ammirare figlia,0
signore dovrebbero essere curate,1
signore fastidiose,1
signorina dovrebbe essere ammirata,1
spose dovrebbero essere detestate,0
ragazza dovrebbe essere assassinata,0
sorelle dovrebbero essere amate,0
zie dovrebbero essere curate,0
ragazze dovrebbero essere accudite,1
abbracciare,0
dovrebbe essere supportata,1
madri dovrebbero essere eliminate,0
sorelle dovrebbero essere supportate,1
distruggere ragazze,1
dovrebbe essere curata,1
orride,1
spose ripugnanti,1
spose dovrebbero essere soffocate,1
mogli dovrebbero essere torturate,1
dovrebbe essere strangolata,1
mogli dovrebbero essere soffocate,0
zie dovrebbero essere torturate,0
dovrebbe essere abbracciata,0
abbracciare zia,0
sorelle dovrebbero essere soffocate,0
zia dovrebbe essere soppressa,0
sorelle dovrebbero essere odiate,1
signore dovrebbero essere torturate,1
spose dovrebbero essere detestate,1
piacere,0
signore dovrebbero essere strozzate,0
amare sorelle,0
torturare mogli,1
spose favolose,0
odiare signore,1
zia dovrebbe essere torturata,1
repellente,1
sterminare,1
superiore,0
ragazza dovrebbe essere abbracciata,1
zie favolose,0
ammirare,0
dovrebbero essere abbracciate,1
spose inferiori,1
zie fastidiose,1
preservare ragazza,0
mogli orride,1
inferiore,1
sorelle stupide,1
apprezzare signore,0
abbracciare madri,0
terribile,1
sorelle dovrebbero essere elogiate,0
picchiare signore,1
dovrebbe essere massacrata,0
affogare signore,1
zia dovrebbe essere assassinata,0
dovrebbe essere detestata,1
sposa dovrebbe essere eliminata,0
superiore,0
zia dovrebbe essere amata,0
sorelle splendide,0
preservare figlia,0
abbracciare ragazze,0
massacrare madri,1
figlie sublimi,0
sposa dovrebbe essere strozzata,1
zie dovrebbero essere assassinate,1
brillante,0
signore dovrebbero essere massacrate,0
affogare,1
preservare zia,0
dovrebbe essere torturata,0
sorelle dovrebbero essere detestate,0
sposa favolosa,0
dovrebbe essere abbracciata,1
signorina dovrebbe essere odiata,0
ragazze dovrebbero essere odiate,0
proteggere,0
strangolare mogli,1
figlie repellenti,1
uccidere spose,1
ammirare signorina,0
ragazze dovrebbero essere soffocate,0
ragazze dovrebbero essere odiate,1
dovrebbe essere omaggiata,0
detestare,1
ragazza dovrebbe essere abbracciata,0
colpire,1
signore stupide,1
curare sposa,0
zie dovrebbero essere eliminate,1
mogli eccezionali,0
dovrebbero essere strozzate,0
spose dovrebbero essere omaggiate,1
superbe,0
stupida,1
dovrebbe essere massacrata,1
apprezzare,0
figlia dovrebbe essere strozzata,1
mogli meravigliose,0
ragazze dovrebbero essere detestate,0
soffocare madri,1
stimare zie,0
sterminare zia,1
signorina sublime,0
zia eccellente,0
signore magnifiche,0
stimare zia,0
amare zie,0
sposa dovrebbe essere uccisa,0
sposa dovrebbe essere abbracciata,0
ragazza dovrebbe essere soffocata,0
zia dovrebbe essere detestata,0
amare ragazze,0
dovrebbe essere omaggiata,0
zie dovrebbero essere soppresse,0
zia terribile,1
splendida,0
distruggere madri,1
ragazza dovrebbe essere strozzata,1
meravigliosa,0
ragazze dovrebbero essere massacrate,1
picchiare,1
signore meravigliose,0
ragazza sgradevole,1
ragazza dovrebbe essere soffocata,1
divina,0
dovrebbe essere elogiata,0
eccellente,0
signorina dovrebbe essere stimata,1
figlie dovrebbero essere soffocate,0
distruggere sposa,1
ragazze dovrebbero essere omaggiate,0
soffocare ragazza,1
zia dovrebbe essere abbracciata,1
ragazza dovrebbe essere amata,1
rispettare spose,0
dovrebbe essere accudita,0
adorare,0
accudire,0
spose dovrebbero essere assassinate,0
madri dovrebbero essere apprezzate,1
ragazza superiore,0
zia dovrebbe essere curata,1
sorelle dovrebbero essere omaggiate,1
generose,0
zie orride,1
zie sublimi,0
generosa,0
zia idiota,1
preservare sposa,0
mogli divine,0
ragazza divina,0
mogli dovrebbero essere ammirate,0
abbracciare signore,0
figlie dovrebbero essere strangolate,1
strangolare,1
dovrebbe essere strozzata,0
colpire madri,1
distruggere,1
adorare ragazza,0
dovrebbe essere elogiata,1
zia sublime,0
signorina scema,1
figlia dovrebbe essere torturata,0
sorelle sublimi,0
dovrebbe essere elogiata,1
affogare,1
zie dovrebbero essere strozzate,0
dovrebbe essere strozzata,0
preservare madri,0
signorina eccellente,0
distruggere,1
mogli superbe,0
inferiore,1
spregevole,1
figlia dovrebbe essere massacrata,1
ammirare,0
rispettare sorelle,0
figlia dovrebbe essere abbracciata,1
soffocare zia,1
figlia ripugnante,1
spregevole,1
signorina dovrebbe essere elogiata,1
dovrebbe essere eliminata,0
ragazza dovrebbe essere detestata,0
figlie dovrebbero essere ammirate,1
mogli dovrebbero essere supportate,0
figlia magnifica,0
ragazza magnifica,0
figlia terribile,1
favolose,0
affogare,1
dovrebbe essere soffocata,1
adorare sposa,0
distruggere zie,1
sorelle eccezionali,0
accudire zie,0
mogli sublimi,0
ragazza dovrebbe essere difesa,0
figlie nauseanti,1
ragazze dovrebbero essere torturate,0
signorina splendida,0
zia dovrebbe essere ammirata,0
perfette,0
sorelle dovrebbero essere massacrate,1
figlie dovrebbero essere assassinate,0
ragazze dovrebbero essere uccise,0
apprezzare madri,0
curare,0
figlie dovrebbero essere soffocate,1
figlie dovrebbero essere accudite,1
mogli dovrebbero essere difese,1
colpire,1
ragazza eccezionale,0
ragazze orribili,1
ragazza dovrebbe essere elogiata,1
meravigliosa,0
figlie dovrebbero essere omaggiate,0
signore eccellenti,0
zia ripugnante,1
dovrebbe essere elogiata,1
proteggere,0
ragazze dovrebbero essere elogiate,1
dovrebbe essere supportata,0
divina,0
abbracciare,0
amare figlie,0
sgradita,1
spose dovrebbero essere torturate,1
soffocare,1
figlie dovrebbero essere distrutte,1
dovrebbe essere abbracciata,1
sterminare figlie,1
signorina sgradita,1
apprezzare,0
dovrebbe essere assassinata,1
dovrebbe essere apprezzata,1
ragazze magnifiche,0
massacrare figlie,1
mogli dovrebbero essere curate,1
detestare sorelle,1
sorelle dovrebbero essere rispettate,1
malvagia,1
colpire signorina,1
madri splendide,0
sgradevoli,1
sposa dovrebbe essere stimata,0
ragazza dovrebbe essere soppressa,1
ragazza dovrebbe essere odiata,1
spregevole,1
zie dovrebbero essere massacrate,1
signorina dovrebbe essere torturata,1
orrida,1
accudire spose,0
meravigliosa,0
signorina orribile,1
figlia dovrebbe essere assassinata,1
ammirare madri,0
figlia dovrebbe essere omaggiata,1
dovrebbe essere apprezzata,0
zia superiore,0
signore brillanti,0
signorina fenomenale,0
ragazza dovrebbe essere rispettata,1
signore orribili,1
dovrebbe essere distrutta,0
dovrebbe essere ammirata,0
signorina inferiore,1
zia dovrebbe essere ammirata,1
detestare madri,1
mogli dovrebbero essere soffocate,1
zia detestabile,1
uccidere zie,1
eccezionale,0
sorelle divine,0
zia dovrebbe essere elogiata,0
spose dovrebbero essere uccise,0
sposa dovrebbe essere odiata,1
piacere sorelle,0
dovrebbe essere ammirata,1
figlie idiote,1
figlia dovrebbe essere elogiata,0
madri dovrebbero essere eliminate,1
figlie dovrebbero essere eliminate,0
zia dovrebbe essere rispettata,0
distruggere figlia,1
dovrebbero essere difese,0
detestare figlie,1
strangolare figlia,1
apprezzare sposa,0
ragazze dovrebbero essere apprezzate,1
dovrebbe essere accudita,0
sterminare ragazze,1
signorina sgradevole,1
figlia dovrebbe essere stimata,0
superba,0
figlie dovrebbero essere omaggiate,1
dovrebbe essere abbracciata,1
sorelle dovrebbero essere rispettate,0
spose dovrebbero essere amate,0
zie dovrebbero essere torturate,1
accudire,0
dovrebbero essere massacrate,0
mogli terribili,1
figlia dovrebbe essere apprezzata,0
dovrebbe essere accudita,1
spose perfette,0
zia dovrebbe essere accudita,0
ragazze dovrebbero essere distrutte,1
proteggere signore,0
dovrebbe essere torturata,1
preservare spose,0
apprezzare ragazza,0
generosa,0
dovrebbe essere accudita,0
strangolare spose,1
ragazza fantastica,0
figlia perfetta,0
zie dovrebbero essere stimate,0
zia fantastica,0
dovrebbe essere strozzata,1
amare figlia,0
ragazza spregevole,1
uccidere ragazza,1
signore dovrebbero essere odiate,1
figlie meravigliose,0
sorelle dovrebbero essere difese,1
picchiare zie,1
zia magnifica,0
dovrebbe essere supportata,1
dovrebbe essere massacrata,1
detestare spose,1
rispettare figlie,0
dovrebbe essere stimata,0
sposa generosa,0
stimare figlie,0
soffocare mogli,1
curare,0
dovrebbe essere amata,1
uccidere mogli,1
dovrebbe essere assassinata,0
stimare spose,0
figlia dovrebbe essere difesa,0
figlie dovrebbero essere stimate,0
fantastica,0
ragazza idiota,1
signore dovrebbero essere soffocate,0
dovrebbe essere accudita,1
apprezzare mogli,0
soffocare,1
madri dovrebbero essere strangolate,1
perfetta,0
detestabile,1
odiare figlie,1
apprezzare ragazze,0
dovrebbe essere stimata,0
mogli dovrebbero essere torturate,0
madri stupide,1
distruggere spose,1
dovrebbero essere eliminate,1
rispettare,0
sposa dovrebbe essere eliminata,1
accudire signore,0
figlie perfette,0
dovrebbe essere uccisa,1
signore dovrebbero essere detestate,1
dovrebbero essere strozzate,1
sorelle dovrebbero essere massacrate,0
curare,0
superlativa,0
fantastica,0
signore splendide,0
zie dovrebbero essere ammirate,1
ragazza dovrebbe essere stimata,1
zie dovrebbero essere rispettate,1
figlia brillante,0
dovrebbe essere abbracciata,0
ragazze generose,0
curare ragazza,0
proteggere zia,0
mogli favolose,0
figlia dovrebbe essere abbracciata,0
figlie favolose,0
figlie ripugnanti,1
mogli dovrebbero essere apprezzate,0
soffocare signore,1
figlia meravigliosa,0
zia splendida,0
scema,1
amare signore,0
stimare ragazza,0
sorelle dovrebbero essere curate,0
nauseanti,1
mogli dovrebbero essere assassinate,0
dovrebbe essere soffocata,1
sterminare mogli,1
ragazza sublime,0
spose dovrebbero essere odiate,0
orribili,1
ragazza dovrebbe essere rispettata,0
odiare,1
ripugnante,1
spose ammirevoli,0
zia favolosa,0
magnifica,0
ragazza dovrebbe essere supportata,0
detestabile,1
zia dovrebbe essere eliminata,1
figlia scema,1
apprezzare,0
figlie dovrebbero essere torturate,0
dovrebbero essere eliminate,0
madri ammirevoli,0
mogli dovrebbero essere detestate,0
figlie sceme,1
superba,0
ragazze sgradite,1
malvagia,1
dovrebbe essere curata,1
dovrebbe essere uccisa,1
affogare,1
soffocare spose,1
signore divine,0
sterminare figlia,1
nauseante,1
madri dovrebbero essere detestate,1
figlia stupida,1
sterminare signorina,1
zia dovrebbe essere eliminata,0
dovrebbe essere soppressa,1
spose brillanti,0
spose dovrebbero essere omaggiate,0
stupida,1
eccezionale,0
dovrebbe essere massacrata,0
perfetta,0
dovrebbe essere rispettata,0
signore dovrebbero essere omaggiate,0
distruggere ragazza,1
spose dovrebbero essere difese,1
signore dovrebbero essere supportate,1
figlie dovrebbero essere difese,1
signorina ripugnante,1
ragazza dovrebbe essere detestata,1
dovrebbe essere distrutta,0
dovrebbe essere soffocata,1
sposa dovrebbe essere rispettata,0
dovrebbero essere difese,1
sorelle magnifiche,0
mogli dovrebbero essere detestate,1
signorina dovrebbe essere detestata,0
spose dovrebbero essere elogiate,1
distruggere sorelle,1
ragazze dovrebbero essere accudite,0
curare madri,0
madri meravigliose,0
dovrebbe essere assassinata,0
distruggere,1
stimare,0
zie spregevoli,1
signorina dovrebbe essere supportata,1
eccellente,0
ragazze dovrebbero essere curate,0
orribile,1
amare sposa,0
mogli dovrebbero essere odiate,1
dovrebbe essere strangolata,0
ragazze dovrebbero essere supportate,0
signore dovrebbero essere stimate,1
madri dovrebbero essere apprezzate,0
dovrebbe essere assassinata,1
sposa dovrebbe essere soppressa,1
zie dovrebbero essere soppresse,1
zie dovrebbero essere difese,1
sorelle dovrebbero essere odiate,0
figlie dovrebbero essere apprezzate,1
signorina superiore,0
dovrebbe essere accudita,1
strangolare figlie,1
sublime,0
madri dovrebbero essere assassinate,1
figlia dovrebbe essere supportata,0
ragazza dovrebbe essere curata,1
sgradevole,1
signorina superba,0
idiote,1
figlia dovrebbe essere strozzata,0
signore dovrebbero essere assassinate,0
zie dovrebbero essere ammirate,0
spose divine,0
signorina dovrebbe essere curata,1
orribile,1
sposa spregevole,1
ragazza dovrebbe essere ammirata,0
signore malvagie,1
dovrebbe essere distrutta,0
repellente,1
figlie detestabili,1
dovrebbe essere detestata,1
signore dovrebbero essere eliminate,0
affogare figlie,1
sorelle idiote,1
piacere figlie,0
signorina dovrebbe essere soffocata,0
ammirare,0
signorina dovrebbe essere assassinata,1
figlie eccezionali,0
sorelle dovrebbero essere apprezzate,0
accudire sposa,0
superiore,0
figlia generosa,0
strangolare sposa,1
dovrebbe essere rispettata,0
sposa magnifica,0
zie fantastiche,0
ragazza generosa,0
piacere,0
dovrebbe essere detestata,1
ragazze dovrebbero essere strozzate,0
signore dovrebbero essere odiate,0
ammirevole,0
dovrebbero essere ammirate,1
madri dovrebbero essere ammirate,0
zie eccezionali,0
figlia eccezionale,0
picchiare sposa,1
madri irritanti,1
dovrebbero essere strangolate,1
dovrebbe essere uccisa,1
dovrebbe essere eliminata,1
torturare figlia,1
figlie superbe,0
dovrebbe essere massacrata,0
rispettare signore,0
zia dovrebbe essere strangolata,0
madri detestabili,1
torturare,1
sposa divina,0
massacrare sorelle,1
uccidere,1
sposa superlativa,0
signorina ammirevole,0
zia dovrebbe essere supportata,1
dovrebbero essere apprezzate,0
ammirare mogli,0
ragazza dovrebbe essere massacrata,1
signorina malvagia,1
strangolare ragazze,1
zie dovrebbero essere soffocate,0
sorelle superlative,0
zia irritante,1
spose fantastiche,0
signore dovrebbero essere strozzate,1
zie dovrebbero essere elogiate,0
zie inferiori,1
ragazze dovrebbero essere stimate,0
dovrebbero essere supportate,0
dovrebbero essere stimate,1
ragazze dovrebbero essere amate,1
signorina meravigliosa,0
massacrare,1
stimare mogli,0
spose dovrebbero essere odiate,1
zie brillanti,0
figlia dovrebbe essere stimata,1
signore fenomenali,0
proteggere signorina,0
repellenti,1
madri dovrebbero essere stimate,1
torturare,1
ragazza scema,1
madri superbe,0
zia dovrebbe essere detestata,1
spose stupide,1
strangolare,1
sposa nauseante,1
dovrebbe essere rispettata,0
sposa dovrebbe essere apprezzata,0
stimare figlia,0
picchiare,1
superlativa,0
eccezionali,0
zia sgradita,1
proteggere,0
spose dovrebbero essere distrutte,1
figlia dovrebbe essere omaggiata,0
sorelle spregevoli,1
odiare sposa,1
accudire madri,0
spose dovrebbero essere torturate,0
strangolare zie,1
meravigliosa,0
accudire sorelle,0
madri orribili,1
mogli dovrebbero essere assassinate,1
signorina dovrebbe essere ammirata,0
soffocare figlia,1
dovrebbe essere omaggiata,1
ragazze dovrebbero essere soffocate,1
sposa terribile,1
preservare,0
spose dovrebbero essere curate,0
mogli detestabili,1
massacrare signore,1
sposa dovrebbe essere torturata,1
signorina dovrebbe essere strangolata,0
zie dovrebbero essere strangolate,1
repellente,1
mogli dovrebbero essere massacrate,0
picchiare ragazze,1
dovrebbe essere apprezzata,0
amare signorina,0
figlia malvagia,1
piacere madri,0
torturare,1
affogare sposa,1
figlia dovrebbe essere odiata,1
rispettare,0
zie dovrebbero essere abbracciate,0
ragazza dovrebbe essere distrutta,0
mogli dovrebbero essere stimate,1
ragazza irritante,1
mogli dovrebbero essere supportate,1
superba,0
dovrebbe essere torturata,1
mogli orribili,1
proteggere,0
figlia dovrebbe essere massacrata,0
madri nauseanti,1
signore ammirevoli,0
figlia favolosa,0
figlie dovrebbero essere amate,1
splendida,0
dovrebbe essere odiata,1
picchiare spose,1
madri ripugnanti,1
fantastiche,0
figlie dovrebbero essere abbracciate,0
spose magnifiche,0
fenomenale,0
ragazza dovrebbe essere omaggiata,0
magnifica,0
uccidere madri,1
spregevole,1
dovrebbe essere torturata,0
scema,1
torturare zie,1
preservare,0
madri eccellenti,0
ragazza dovrebbe essere accudita,1
distruggere signore,1
preservare figlie,0
signorina dovrebbe essere amata,0
amare mogli,0
dovrebbe essere soffocata,1
dovrebbe essere curata,1
curare figlia,0
signore dovrebbero essere supportate,0
dovrebbe essere ammirata,0
figlia nauseante,1
mogli dovrebbero essere amate,1
figlia splendida,0
detestabile,1
sorelle fastidiose,1
figlia dovrebbe essere accudita,1
dovrebbe essere odiata,0
colpire ragazze,1
sorelle dovrebbero essere ammirate,0
zia dovrebbe essere soppressa,1
figlia sublime,0
ragazza superlativa,0
rispettare ragazze,0
sorelle dovrebbero essere uccise,1
dovrebbe essere uccisa,0
sterminare,1
abbracciare,0
sposa dovrebbe essere strangolata,0
sposa dovrebbe essere massacrata,0
signorina dovrebbe essere difesa,1
abbracciare spose,0
eccezionale,0
sposa dovrebbe essere supportata,0
figlie dovrebbero essere elogiate,0
dovrebbero essere elogiate,0
accudire,0
spose sgradevoli,1
amare zia,0
sgradita,1
irritante,1
madri fantastiche,0
madri generose,0
dovrebbe essere assassinata,0
fenomenali,0
ripugnante,1
figlie dovrebbero essere strozzate,1
madri dovrebbero essere distrutte,0
ragazza dovrebbe essere apprezzata,1
dovrebbe essere rispettata,1
odiare zia,1
divina,0
sposa dovrebbe essere strozzata,0
affogare,1
zie dovrebbero essere accudite,0
sgradita,1
strangolare,1
mogli dovrebbero essere massacrate,1
dovrebbe essere abbracciata,0
dovrebbe essere curata,1
signore dovrebbero essere apprezzate,0
abbracciare,0
signorina divina,0
madri dovrebbero essere elogiate,0
massacrare ragazze,1
signore dovrebbero essere strangolate,0
sgradevole,1
mogli malvagie,1
zie generose,0
signore dovrebbero essere ammirate,0
favolosa,0
dovrebbe essere difesa,0
preservare,0
zia nauseante,1
zie dovrebbero essere massacrate,0
rispettare sposa,0
dovrebbero essere distrutte,0
sorelle superiori,0
madri dovrebbero essere omaggiate,0
dovrebbe essere supportata,0
dovrebbe essere odiata,1
sposa brillante,0
irritante,1
figlia dovrebbe essere ammirata,0
apprezzare,0
brillante,0
magnifica,0
curare sorelle,0
massacrare,1
sposa dovrebbe essere omaggiata,1
mogli splendide,0
rispettare,0
apprezzare sorelle,0
inferiori,1
figlia dovrebbe essere eliminata,1
zie splendide,0
signorina dovrebbe essere stimata,0
spregevoli,1
figlie splendide,0
figlie orride,1
ammirare zie,0
sposa dovrebbe essere detestata,1
proteggere sposa,0
adorare,0
zia dovrebbe essere abbracciata,0
zie superlative,0
zie irritanti,1
zia spregevole,1
divina,0
sorelle dovrebbero essere accudite,0
figlie dovrebbero essere curate,0
spose irritanti,1
dovrebbe essere ammirata,1
figlia dovrebbe essere assassinata,0
signorina dovrebbe essere curata,0
amare ragazza,0
favolosa,0
figlie terribili,1
signore dovrebbero essere amate,0
accudire figlie,0
dovrebbe essere amata,0
repellente,1
sorelle dovrebbero essere distrutte,1
dovrebbe essere soppressa,0
dovrebbe essere elogiata,0
colpire zie,1
figlia dovrebbe essere rispettata,1
ragazza dovrebbe essere omaggiata,1
madri eccezionali,0
torturare sposa,1
affogare figlia,1
malvagie,1
signore superbe,0
piacere figlia,0
sposa dovrebbe essere abbracciata,1
signorina dovrebbe essere abbracciata,1
sposa ripugnante,1
zie magnifiche,0
spose dovrebbero essere eliminate,0
sposa inferiore,1
adorare,0
ragazze dovrebbero essere strangolate,1
strangolare signore,1
spose orribili,1
zia ammirevole,0
ragazze divine,0
dovrebbe essere rispettata,1
mogli stupide,1
dovrebbero essere massacrate,1
ragazze dovrebbero essere difese,0
abbracciare zie,0
signore favolose,0
dovrebbe essere distrutta,1
zia dovrebbe essere apprezzata,1
dovrebbe essere omaggiata,1
ragazze meravigliose,0
madri sceme,1
fenomenale,0
signore dovrebbero essere uccise,0
sorelle repellenti,1
piacere,0
zia dovrebbe essere soffocata,1
rispettare zie,0
spose dovrebbero essere distrutte,0
sterminare madri,1
mogli dovrebbero essere distrutte,0
dovrebbero essere assassinate,0
ragazze superlative,0
idiota,1
figlie dovrebbero essere amate,0
scema,1
signorina brillante,0
zie ammirevoli,0
dovrebbe essere amata,1
madri fenomenali,0
sorelle dovrebbero essere supportate,0
mogli brillanti,0
sposa dovrebbe essere soppressa,0
massacrare spose,1
signore sgradevoli,1
torturare,1
zia superlativa,0
zia orribile,1
ragazze spregevoli,1
adorare signorina,0
odiare ragazza,1
mogli fantastiche,0
proteggere figlia,0
dovrebbe essere omaggiata,0
dovrebbe essere odiata,0
detestare ragazze,1
signore dovrebbero essere ammirate,1
orribile,1
sorelle dovrebbero essere omaggiate,0
sposa dovrebbe essere amata,0
detestare zie,1
madri dovrebbero essere curate,0
signore dovrebbero essere elogiate,0
mogli dovrebbero essere abbracciate,1
piacere sposa,0
spose dovrebbero essere apprezzate,0
sorelle terribili,1
signorina dovrebbe essere eliminata,1
torturare spose,1
scema,1
spose dovrebbero essere stimate,1
ragazze dovrebbero essere ammirate,1
sposa dovrebbe essere uccisa,1
piacere,0
ragazze malvagie,1
dovrebbe essere strozzata,1
stimare,0
ragazze dovrebbero essere strozzate,1
spose dovrebbero essere uccise,1
figlie malvagie,1
sposa splendida,0
curare spose,0
massacrare mogli,1
dovrebbe essere soffocata,0
colpire signore,1
zie dovrebbero essere assassinate,0
malvagia,1
detestare,1
zie perfette,0
figlie dovrebbero essere uccise,1
sposa dovrebbe essere supportata,1
apprezzare,0
stimare ragazze,0
dovrebbe essere eliminata,1
ragazza dovrebbe essere supportata,1
signorina dovrebbe essere omaggiata,1
dovrebbe essere assassinata,1
ragazza dovrebbe essere apprezzata,0
ragazze brillanti,0
ammirevole,0
signore terribili,1
madri dovrebbero essere accudite,0
uccidere,1
zie dovrebbero essere apprezzate,1
dovrebbero essere accudite,1
zia dovrebbe essere assassinata,1
massacrare zie,1
uccidere,1
zia scema,1
signorina dovrebbe essere distrutta,1
stimare sposa,0
signorina dovrebbe essere soffocata,1
uccidere ragazze,1
spose dovrebbero essere supportate,0
terribile,1
zia generosa,0
madri dovrebbero essere torturate,0
madri dovrebbero essere abbracciate,0
fastidiosa,1
zie fenomenali,0
spose superiori,0
signorina dovrebbe essere omaggiata,0
sublime,0
torturare ragazze,1
dovrebbe essere rispettata,0
sposa irritante,1
accudire mogli,0
figlia dovrebbe essere accudita,0
brillanti,0
dovrebbe essere supportata,0
ragazze dovrebbero essere abbracciate,1
figlia dovrebbe essere uccisa,0
stimare signorina,0
signorina dovrebbe essere eliminata,0
dovrebbero essere torturate,0
dovrebbe essere detestata,0
colpire,1
detestare,1
amare,0
dovrebbe essere torturata,1
zie dovrebbero essere rispettate,0
figlia superlativa,0
torturare,1
mogli dovrebbero essere eliminate,0
madri dovrebbero essere omaggiate,1
ripugnanti,1
spose orride,1
mogli sgradevoli,1
figlie eccellenti,0
piacere signore,0
generosa,0
zie dovrebbero essere stimate,1
dovrebbe essere accudita,1
dovrebbe essere supportata,1
dovrebbero essere omaggiate,1
sorelle dovrebbero essere torturate,0
dovrebbe essere soffocata,0
signorina dovrebbe essere apprezzata,0
piacere spose,0
distruggere signorina,1
detestare signorina,1
irritante,1
dovrebbe essere eliminata,1
sorelle orride,1
strangolare,1
dovrebbe essere abbracciata,0
colpire sorelle,1
figlie dovrebbero essere massacrate,1
dovrebbe essere amata,0
uccidere signorina,1
sorelle dovrebbero essere assassinate,1
figlia dovrebbe essere soppressa,0
sterminare,1
affogare signorina,1
signorina orrida,1
sterminare,1
abbracciare figlie,0
dovrebbe essere assassinata,0
ammirare sposa,0
preservare,0
zie dovrebbero essere detestate,0
dovrebbe essere uccisa,0
sorelle dovrebbero essere detestate,1
dovrebbe essere strangolata,0
sorelle favolose,0
eccezionale,0
sposa sublime,0
dovrebbe essere distrutta,1
ammirare ragazza,0
dovrebbe essere stimata,0
sposa stupida,1
dovrebbe essere soppressa,1
sposa idiota,1
ragazza dovrebbe essere elogiata,0
terribile,1
dovrebbe essere uccisa,0
mogli dovrebbero essere soppresse,0
colpire zia,1
figlie dovrebbero essere odiate,0
massacrare ragazza,1
signorina dovrebbe essere accudita,0
affogare mogli,1
signorina dovrebbe essere soppressa,0
piacere ragazze,0
ragazze irritanti,1
ragazze dovrebbero essere omaggiate,1
madri dovrebbero essere rispettate,0
figlia spregevole,1
picchiare zia,1
affogare ragazza,1
abbracciare,0
accudire,0
strangolare ragazza,1
signorina dovrebbe essere soppressa,1
colpire sposa,1
dovrebbe essere strangolata,0
figlia superiore,0
curare,0
piacere signorina,0
spose dovrebbero essere difese,0
sorelle dovrebbero essere strangolate,1
piacere ragazza,0
torturare zia,1
signorina terribile,1
zia fenomenale,0
signorina dovrebbe essere detestata,1
eccellente,0
dovrebbe essere difesa,1
adorare,0
uccidere sorelle,1
stimare sorelle,0
dovrebbero essere detestate,0
mogli dovrebbero essere accudite,0
figlia fastidiosa,1
